Subject,Sample,Time,rms,rms smooth diff
6,10027,100.27,5.384561872713525,0.43493549413336674
6,12775,127.75,12.77727298242158,1.1289023791926702
6,15822,158.22,10.786852851570263,0.9468318414973615
6,18792,187.92,5.691335970751648,0.45187562080936783
6,22269,222.69,12.253091950910374,1.04412644871815
6,24877,248.77,4.872631136439817,0.3977465078648774
6,27004,270.04,4.626949691281304,0.38301937302159456
6,27898,278.98,4.651341871468349,0.391486066668883
6,30906,309.06,5.483948117509758,0.3925960819746168
6,33871,338.71,10.973046947315646,0.9857634975543217
6,36933,369.33,5.4251948872170255,0.4466702581590386
6,39982,399.82,12.122633363380102,1.080296202334815
6,42950,429.5,4.973502808631812,0.40784332661109945
6,45991,459.91,11.021283768026946,0.9632825379255946
6,48991,489.91,9.060225138625697,0.7875428074326538
6,51931,519.31,8.988723791758447,0.7795844271937915
6,55008,550.08,5.296971078076113,0.42823672830502124
6,58059,580.59,17.28313995946366,1.5146864474956925
7,851,8.51,10.840564725419664,0.9682678551202134
7,4132,41.32,5.513410339749404,0.47870599238645745
7,7096,70.97,18.647390268539908,1.6864757387138312
7,10087,100.88,11.273992784105255,0.9849881062786534
7,13109,131.1,5.575867213053315,0.47897696077273477
7,16140,161.41,1.898915292398636,0.1243589788692816
7,19109,191.1,12.361813175676632,1.09725072082853
7,20866,208.67,4.8831597770150035,0.43229802132398903
7,22337,223.38,10.67944754454281,0.9152688766650914
7,25120,251.21,4.88359695622844,0.4005020503679763
7,28165,281.66,5.01638571732968,0.43083953843980904
7,31152,311.53,10.659990838047266,0.9023228962982169
7,34155,341.56,11.24716485628982,1.009007728781842
7,37171,371.72,4.953006630737077,0.377421070428349
7,40186,401.87,4.757457389638436,0.4110569305194328
7,43211,432.12,4.8088472975416146,0.4095746145192131
7,46206,462.07,1.895769922594022,0.14473329231288
7,49231,492.32,1.8656202770597978,0.13085391211538044
7,52206,522.07,5.684099554119204,0.4371903394918132
7,55252,552.53,10.504792003223352,0.9383844050186633
7,58305,583.06,10.517520050571422,0.9201661070459041
8,904,9.04,5.181227147949431,0.41818484861703725
8,10000,100.01,4.801274957966865,0.41935209467976775
8,16059,160.6,10.633549855279753,0.9365076733898958
8,19049,190.5,4.798195112233122,0.4301606248114061
8,22034,220.35,10.661450024270929,0.9537993904452082
8,25542,255.43,5.070172838256764,0.41892777784721047
8,31048,310.49,11.046462538420222,0.9772582161515908
8,55227,552.28,10.940904438359153,0.9619678325258642
8,58201,582.02,5.298206498248359,0.4410437436103878
9,846,8.46,10.62451235317313,0.9153254268438996
9,3947,39.47,10.425179155533081,0.926841527124629
9,6998,69.98,10.536223025473966,0.9089453548538043
9,10080,100.8,5.1542728224176155,0.3957502415732671
9,13022,130.22,6.132188861526049,0.5305489977418333
9,16101,161.01,5.536337140611005,0.45266079370018986
9,19068,190.68,10.817723215116576,0.9615282658766071
9,22125,221.25,10.67551225446074,0.9253189679998624
9,22916,229.16,4.68544213945899,0.3962659209799225
9,25089,250.89,4.8814041716997325,0.41034171647130063
9,31081,310.81,5.970042266625956,0.4869626081666577
9,34104,341.04,5.145510090728519,0.4268711076076871
9,37188,371.88,11.061056782383321,0.9574864250959
9,41956,419.56,4.733318882636757,0.42357342340675186
9,43169,431.69,5.136259732675437,0.39204531866206077
9,46160,461.6,4.7976202544053566,0.39712324776022756
9,49201,492.01,12.519013616832957,1.0562862403306028
9,52131,521.31,10.599081548916782,0.9263718405946731
9,55153,551.53,4.72505253098707,0.40411425818685365
